Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-02 22:54:37.396246+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4305.05,4521.05,,86.101,0.04571964,0,0,market_order,closed,,,902995575
2025-09-02 22:50:48.939180+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,110692,105152.5,,110.692,0.05877746,0,0,market_order,closed,,,902990370
2025-09-02 22:43:07.687808+05:30 IST Asia/Kolkata,AVAXUSD,1,sell,1/0,23.79,21.4063,,23.79,0.01263249,0.108,0.108,market_order,closed,,,902976797
2025-09-02 21:49:46.298647+05:30 IST Asia/Kolkata,AVAXUSD,1,buy,1/0,23.682,26.0253,,23.682,0.01257515,0,0,market_order,closed,,,902862874
2025-09-02 21:49:09.862515+05:30 IST Asia/Kolkata,AVAXUSD,50,sell,50/0,23.646,21.2776,,1182.3,0.6278013,-2.6,-2.6,market_order,closed,,,902861842
2025-09-02 21:46:53.298783+05:30 IST Asia/Kolkata,AVAXUSD,50,buy,50/0,23.698,26.0437,,1184.9,0.6291819,0,0,market_order,closed,,,902857816
2025-09-02 21:37:07.430699+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,23.654,25.9942,,47.308,0.02512055,0.444,0.444,market_order,closed,,,902837310
2025-09-02 20:32:21.923136+05:30 IST Asia/Kolkata,AVAXUSD,2,sell,2/0,23.876,21.4917,,47.752,0.02535632,0,0,market_order,closed,,,902669932
2025-09-02 20:27:38.785085+05:30 IST Asia/Kolkata,AVAXUSD,21,buy,21/0,23.922,26.2976,,502.362,0.26675423,1.814,1.814,market_order,closed,,,902660287
2025-09-02 20:21:56.475556+05:30 IST Asia/Kolkata,AVAXUSD,10,sell,10/0,23.954,21.5564,,239.54,0.12719574,0,0,market_order,closed,,,902647528
2025-09-02 20:12:34.871871+05:30 IST Asia/Kolkata,AVAXUSD,10,sell,10/0,24.048,21.6334,,240.48,0.12769488,0,0,market_order,closed,,,902627424
2025-09-02 20:08:20.979634+05:30 IST Asia/Kolkata,AVAXUSD,1,sell,1/0,24.156,21.7309,,24.156,0.01282684,0,0,market_order,closed,,,902616749
2025-09-02 19:49:07.951261+05:30 IST Asia/Kolkata,ETHUSD,51,buy,51/0,4365.65,4580.9,,2226.4815,1.18226168,-4.4735,-4.4735,market_order,closed,,,902560974
2025-09-02 19:35:22.045088+05:30 IST Asia/Kolkata,ETHUSD,50,sell,50/0,4356.6,4142.8,,2178.3,1.1566773,0,0,market_order,closed,,,902512112
2025-09-02 19:25:31.211720+05:30 IST Asia/Kolkata,ETHUSD,1,sell,1/0,4370.8,4150.7,,43.708,0.02320895,0,0,market_order,closed,,,902473042
2025-09-02 19:21:15.508772+05:30 IST Asia/Kolkata,ETHUSD,51,sell,51/0,4385.6,4169.65,4385.64,2236.656,1.18766434,14.274,14.274,market_order,closed,,,902453949
2025-09-02 19:15:46.482492+05:30 IST Asia/Kolkata,ETHUSD,50,buy,50/0,4358.9,4571.2,,2179.45,1.15728795,0,0,market_order,closed,,,902424096
2025-09-02 18:36:49.080931+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4293.2,4507.7,,42.932,0.0227969,0,0,market_order,closed,,,902311771
2025-09-02 18:32:45.974526+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4288.35,4502.9,,85.767,0.04554228,0.573,0.573,market_order,closed,,,902302367
2025-09-02 18:10:45.924873+05:30 IST Asia/Kolkata,ETHUSD,2,sell,2/0,4317,4100.85,,86.34,0.04584654,0,0,market_order,closed,,,902226377
2025-09-02 18:01:11.122844+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,109438,114896.5,,109.438,0.05811158,0.36,0.36,market_order,closed,,,902206713
2025-09-02 18:01:11.224624+05:30 IST Asia/Kolkata,BTCUSD,1,buy,0/1,,,109686.8,,0,,,market_order,cancelled,position_closed,,902194253
